Engagement Model,Incentive Method,Description
Referral Partner,Referral fee,Introduces potential customers to your product and earns a reward if the deal closes.
Lead Generation Partner,Per lead or per sale,"Actively prospects and qualifies leads, then passes them to your internal sales team."
Sales Agent / Reseller,Commission per sale,Owns the sales process end-to-end and sells your product directly to customers.
Value-Added Reseller,Margin or resale discount,"Resells your product along with their own services like setup, training, or customization."
Affiliate Partner,Click/lead/sale-based payout,"Promotes your product online and earns commissions based on traffic, leads, or conversions."
Channel Partner,Volume discounts,Sells your product through their existing distribution network or ecosystem.
Implementation Partner,Service fees,"Helps customers set up, configure, and adopt your product after the sale."
Strategic Alliance,Custom/shared revenue,Collaborates with you on joint sales or marketing initiatives to mutual customer bases.
Distributor,Bulk discount margin,Purchases your product in bulk and resells it to other vendors or retail channels.
Licensing Partner,-,"Pays to use, rebrand, or distribute your product or technology in a specific market."